operator,military
Algerian Air Force,algeria_mil
Austrian Air Force,austria_mil
Brazilian Air Force,brazil_mil
Bulgarian Air Force,bulgaria_mil
Bulgarian Air Force,bulgaria_mil
Chinese Air Force,china_mil
Colombian Air Force,colombia_mil
Czech Air Force,czech_republic_mil
Ecuadorean Air Force,ecuador_mil
Egyptian Air Force,egypt_mil
Estonian Air Force,estonia_mil
Force Aerienne Francaise,france_mil
German Air Force,germany_mil
Greek Air Force,greece_mil
Indian Air Force,india_mil
Israeli Air Force,israel_mil
Italian Air Force,italy_mil
Kuwait Air Force,kuwait_mil
Lithuanian Air Force,lithuania_mil
Mexican Air Force,mexico_mil
Nigerian Air Force,nigeria_mil
Pakistan Air Force,pakistan_mil
Philippine Air Force,philippines_mil
Polish Air Force,poland_mil
Portuguese Air Force,portugal_mil
Qatar Emiri Air Force,qatar_mil
Republic Of Korea Air Force,korea-south-mil
Romanian Air Force,romania_mil
Royal Air Force,united_kingdom_mil
Royal Australian Air Force,australia_mil
Royal Danish Air Force,denmark_mil
Royal Malaysian Air Force,malaysia_mil
Royal Moroccan Air Force,morocco_mil
Royal Netherlands Air Force,netherlands_mil
Royal New Zealand Air Force,new_zealand_mil
Royal Norwegian Air Force,norway_mil
Royal Saudi Air Force,saudi_arabia_mil
Royal Thai Air Force,thailand_mil
Russian Air Force,russia_mil
Serbian Air Force,serbia_mil
Spanish Air Force,spain_mil
Swedish Air Force,sweden_mil
Swiss Air Force,switzerland_mil
Syrian Air Force,syria_mil
United Arab Emirates Air Force,united_arab_emirates_mil
United States Air Force,united_states_mil
Venezuelan Air Force,venezuela_mil
