CTA du site;Identifiant Multiplex;opérateur de multiplex;Canal;Zone principalement couverte;Département de la zone principalement couverte;COG étendu de la Commune Zone principalement couverte;Fréquence (MHz);Diffuseur;Commune d'implantation de l'émetteur;Adresse;Département de la commune d'implantation;COG étendu de Commune d'implantation de l'émetteur;MainId (décimal);SubId (décimal);TII;Statut;Longitude;Latitude;PAR de l'émetteur (dBW);Hauteur de l'antenne;Altitude;ANGLE_000;ANGLE_010;ANGLE_020;ANGLE_030;ANGLE_040;ANGLE_050;ANGLE_060;ANGLE_070;ANGLE_080;ANGLE_090;ANGLE_100;ANGLE_110;ANGLE_120;ANGLE_130;ANGLE_140;ANGLE_150;ANGLE_160;ANGLE_170;ANGLE_180;ANGLE_190;ANGLE_200;ANGLE_210;ANGLE_220;ANGLE_230;ANGLE_240;ANGLE_250;ANGLE_260;ANGLE_270;ANGLE_280;ANGLE_290;ANGLE_300;ANGLE_310;ANGLE_320;ANGLE_330;ANGLE_340;ANGLE_350
Marseille;Marseille_intermédiaire_1;SAS Radiomux;8A;Marseille;13;13055;195,936;TDF;Septèmes-les-Vallons;LIEUDIT PETITE ETOILE;13;13106;23;10;23|10;agréé et en vigueur;005E2442;43N2316;40;66;530;1,3;0,7;0,3;0,1;0,2;0,3;0,5;0,7;0,8;0,9;0,8;0,7;0,5;0,3;0,1;0;0,1;0,4;1;1,8;2,8;3,9;5;6;6,4;6,8;7,2;6,7;7,2;6,8;6,4;6,1;5,2;4,2;3,1;2,1
Marseille;Marseille_intermédiaire_1;SAS Radiomux;8A;Aix-en-Provence;13;13001;195,936;TDF;Aix-en-Provence;LIEUDIT LA GRANCE BASTIDE ECHANGEUR A8;13;13001;23;02;23|02;agréé et en vigueur;005E2407;43N3138;35,44;25;195;17;13,8;10,9;8,7;6,4;4,8;3,1;1,7;0,6;0,1;0;0,1;0,6;1,7;3,1;4,8;6,4;8,7;10,9;13,8;17;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
Marseille;Marseille_intermédiaire_2;SAS Rmux;7A;Marseille;13;13055;188,928;TDF;Simiane-Collongue;GRANDE ETOILE;13;13107;24;10;24|10;agréé et en vigueur;005E2532;43N2302;40;148;585;12,4;17,8;22,2;19,4;30;17,4;12,3;13,5;22,2;24,3;20,9;19,6;13,1;9,2;7;5,5;4,5;3,8;2,6;2,3;3;5,7;9,1;7,6;6,7;8;6,6;3,3;1,8;1,9;3;4,1;5,1;6,2;7,9;10,2
Marseille;Nice_intermédiaire_2;SAS Rmux;11C;Nice;06;06088;220,352;TDF;Villefranche-sur-Mer;MONT LEUZE;06;06159;17;04;17|04;agréé et en vigueur;007E1915;43N4318;37,781;56;551;0,5;1,1;1,9;2,9;4;5;5,8;6,2;6,4;6,4;6,4;6,3;6,1;5,6;4,9;3,9;2,9;1,9;0,8;0,3;0,1;0;0,2;0,4;0,8;1,1;1,3;1,4;1,3;1,1;0,8;0,5;0,2;0,1;0,1;0,3
Marseille;Nice_local_2;SAS Rmux;9D;Nice;06;06088;208,064;TDF;Cantaron;LIEUDIT MONT DE L'UBAC;06;06031;04;04;04|04;agréé et en vigueur;007E1744;43N4603;40,791;30;642;10,1;9,8;9,4;9,3;9,4;9,8;10,1;10,1;9,3;7,8;6,1;4,5;3,1;2;1,2;0,7;0,3;0,1;0;0;0;0;0;0;0;0,1;0,3;0,7;1,2;2;3,1;4,5;6,1;7,8;9,3;10,1
Paris;Paris_intermédiaire_1;SAS Rmux;6A;Paris;75;75056;181,936;TDF;Les Lilas;FORT DE ROMAINVILLE;93;93045;12;10;12|10;agréé et en vigueur;002E2520;48N5307;39,03;144;129;2,5;3,5;4,5;5,4;6;6,4;6,6;6,6;6,6;6,5;6,4;6;5,4;4,6;3,6;2,6;1,7;1;0,4;0,1;0;0;0,1;0,2;0,2;0,2;0,2;0,2;0,1;0;0;0,1;0,4;0,7;1,3;2,1
Paris;Paris_local_2;SAS Rmux;9B;Paris;75;75056;204,64;TDF;Les Lilas;FORT DE ROMAINVILLE;93;93045;26;10;26|10;agréé et en vigueur;002E2520;48N5307;39,02;144;129;2;2,9;3,9;4,8;5,5;6;6,2;6,3;6,4;6,3;6,1;5,6;4,8;3,8;2,8;1,8;1,1;0,5;0,1;0;0,1;0,3;0,5;0,8;0,9;1;0,9;0,8;0,5;0,3;0,1;0;0,1;0,3;0,8;1,5
Paris;Paris_local_1;SARL La Coopérative de Radiodiffusion;9A;Paris;75;75056;202,928;La Coopérative de Radiodiffusion;Paris 18e Arrondissement;LIEUDIT CHATEAU D'EAU DU MONT CENIS;75;75118;22;10;22|10;agréé et en vigueur;002E2030;48N5314;36,02;48;125;0;0;0;0;0;0;0;1;1;2;3;4;5;6;7;7;7;8;8;8;7;7;7;6;5;4;3;2;1;1;0;0;0;0;0;0
Marseille;Marseille_local_3;SAS Rmux;8D;Marseille;13;13055;201,072;TDF;Septèmes-les-Vallons;LIEUDIT PETITE ETOILE;13;13106;07;10;07|10;agréé et en vigueur;005E2442;43N2316;40;66;530;1,3;0,7;0,3;0,1;0,2;0,3;0,5;0,7;0,8;0,9;0,8;0,7;0,5;0,3;0,1;0;0,1;0,4;1;1,8;2,8;3,9;5;6;6,4;6,8;7,2;6,7;7,2;6,8;6,4;6,1;5,2;4,2;3,1;2,1
Marseille;Marseille_local_2;SARL SDN;8C;Marseille;13;13055;199,36;ADN;Septèmes-les-Vallons;LA PETITE ETOILE;13;13106;11;10;11|10;agréé et en vigueur;005E2445;43N2321;36,02;45;557;0,2;0,1;0;0;0,1;0,2;0,2;0,2;0,2;0,2;0,1;0;0;0,1;0,2;0,6;1,1;1,7;2,6;3,4;4,3;4,9;5,4;5,7;5,8;5,8;5,8;5,7;5,4;4,9;4,3;3,4;2,5;1,8;1,1;0,6
Paris;Paris_local_3;SAS Radiomux;11A;Paris;75;75056;216,928;TDF;Les Lilas;FORT DE ROMAINVILLE;93;93045;27;10;27|10;agréé et en vigueur;002E2520;48N5307;36,02;144;129;2;2,9;3,9;4,8;5,5;6;6,2;6,3;6,4;6,3;6,1;5,6;4,8;3,8;2,8;1,8;1,1;0,5;0,1;0;0,1;0,3;0,5;0,8;0,9;1;0,9;0,8;0,5;0,3;0,1;0;0,1;0,3;0,8;1,5
Marseille;Nice_étendu_1;SAS Radiomux;11A;Nice;06;06088;216,928;TWC;Nice;Mont Vinaigrier;06;06088;31;04;31|04;agréé et en vigueur;007E1826;43N4251;40;18;362;8;9;9;9;9;9;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;2;3;4;6;7
