Type,Id,Name,Frequency (Hz),Latitude,Longitude,Altitude (m),Power,TII Main,TII Sub
AM,Acacia Radio Annesley Woodhouse Annesley - Acacia Centre,Acacia Radio,1287000,53.079047,-1.250137,173,0.001,,
AM,Akash Radio Leeds Leeds Leeds - Potternewton Lane,Akash Radio Leeds,1323000,53.825157,-1.547404,113,0.03,,
AM,Anker Radio  George Eliot Hospital,Anker Radio,1386000,52.511208,-1.473932,102,0.001,,
AM,Asian Sound Radio East Lancashire Ashton Moss C,Asian Sound Radio,1377000,53.491685,-2.115866,101,0.08,,
AM,Asian Sound Radio East Lancashire HASLINGDEN,Asian Sound Radio,963000,53.708491,-2.311438,336,0.2,,
AM,BBC Asian Network Midlands Freemens Common,BBC Asian Network,837000,52.61896,-1.13158,79,0.7,,
AM,BBC Asian Network Midlands Gunthorpe,BBC Asian Network,1449000,52.617188,-0.247858,3,0.15,,
AM,BBC Asian Network Midlands Langley Mill,BBC Asian Network,1458000,52.56878,-1.765371,91,5,,
AM,BBC Asian Network Midlands Sedgley,BBC Asian Network,828000,52.542856,-2.14151,160,0.2,,
AM,BBC Guernsey (AM) Guernsey Rohais,BBC Guernsey (AM),1116000,49.46174,-2.562965,28,0.5,,
AM,BBC Radio 4 (AM) Cumbria Brisco,BBC Radio 4 (AM),1485000,54.864686,-2.917634,38,0.79,,
AM,BBC Radio 4 (AM) London Crystal Palace,BBC Radio 4 (AM),720000,51.424161,-0.074944,110,0.24,,
AM,BBC Radio 4 (AM) A Enniskillen AM,BBC Radio 4 (AM),774000,54.359626,-7.642841,70,0.5,,
AM,BBC Radio 4 (AM) Northern Ireland Lisnagarvey,BBC Radio 4 (AM),720000,54.489676,-6.060423,44,10,,
AM,BBC Radio 4 (AM) Londonderry Londonderry MF,BBC Radio 4 (AM),720000,55.004653,-7.367867,175,0.25,,
AM,BBC Radio 4 (AM) Devon Plumer Barracks,BBC Radio 4 (AM),774000,50.406749,-4.125485,101,0.2,,
AM,BBC Radio 4 (AM) North East Scotland Redmoss MF,BBC Radio 4 (AM),1449000,57.114016,-2.095089,90,2,,
AM,BBC Radio 4 (AM) Cornwall Redruth MF,BBC Radio 4 (AM),756000,50.217887,-5.2124,182,2,,
AM,BBC Radio 4 (AM) Newcastle Wrekenton,BBC Radio 4 (AM),603000,54.932736,-1.572984,152,0.5,,
AM,BBC Radio 5 live Cumbria Barrow,BBC Radio 5 live,693000,54.126165,-3.198099,23,0.6,,
AM,BBC Radio 5 live Sussex Bexhill MF,BBC Radio 5 live,693000,50.837744,0.447085,15,0.4,,
AM,BBC Radio 5 live London and the South East Brookmans Park,BBC Radio 5 live,909000,51.727838,-0.176464,127,200,,
AM,BBC Radio 5 live North Scotland Burghead,BBC Radio 5 live,693000,57.69801,-3.46983,40,25,,
AM,BBC Radio 5 live A Clevedon,BBC Radio 5 live,909000,51.423652,-2.863893,5,75,,
AM,BBC Radio 5 live Dartford Tunnel,BBC Radio 5 live,909000,51.469253,0.260425,3,0.004,,
AM,BBC Radio 5 live Midlands Droitwich,BBC Radio 5 live,693000,52.298545,-2.105388,48,150,,
AM,BBC Radio 5 live A Enniskillen AM,BBC Radio 5 live,693000,54.359626,-7.642841,70,0.4,,
AM,BBC Radio 5 live Newcastle Fareham,BBC Radio 5 live,909000,50.849331,-1.226918,30,0.8,,
AM,BBC Radio 5 live South Hampshire & Isle of Wight Fern Barrow,BBC Radio 5 live,909000,50.732788,-1.902461,44,0.5,,
AM,BBC Radio 5 live Kent Folkestone MF,BBC Radio 5 live,693000,51.105014,1.219804,145,0.4,,
AM,BBC Radio 5 live Northern Ireland Lisnagarvey,BBC Radio 5 live,909000,54.489676,-6.060423,44,5,,
AM,BBC Radio 5 live Londonderry Londonderry MF,BBC Radio 5 live,909000,55.004653,-7.367867,175,0.28,,
AM,BBC Radio 5 live Northern England Moorside Edge,BBC Radio 5 live,909000,53.635238,-1.894553,340,400,,
AM,BBC Radio 5 live Exeter Pearce's Hill,BBC Radio 5 live,909000,50.683057,-3.514661,82,0.2,,
AM,BBC Radio 5 live Norfolk Postwick,BBC Radio 5 live,693000,52.626852,1.402572,26,15,,
AM,BBC Radio 5 live North East Scotland Redmoss MF,BBC Radio 5 live,693000,57.114016,-2.095089,90,0.8,,
AM,BBC Radio 5 live Cornwall Redruth MF,BBC Radio 5 live,909000,50.217887,-5.2124,182,0.4,,
AM,BBC Radio 5 live Sussex Southwick,BBC Radio 5 live,693000,50.832284,-0.24922,5,0.6,,
AM,BBC Radio 5 live Northumberland Stagshaw,BBC Radio 5 live,693000,55.0326,-2.023437,213,50,,
AM,BBC Radio 5 live South West England Start Point,BBC Radio 5 live,693000,50.228364,-3.663965,122,80,,
AM,BBC Radio 5 live Wales Tywyn,BBC Radio 5 live,990000,52.582906,-4.096237,6,0.4,,
AM,BBC Radio 5 live Central Scotland Westerglen,BBC Radio 5 live,909000,55.974427,-3.818043,155,70,,
AM,BBC Radio 5 live Cumbria Whitehaven MF,BBC Radio 5 live,909000,54.539612,-3.58734,8,0.4,,
AM,BBC Radio Cumbria (AM) Cumbria Barrow,BBC Radio Cumbria (AM),837000,54.126165,-3.198099,23,1,,
AM,BBC Radio Cumbria (AM) Cumbria Brisco,BBC Radio Cumbria (AM),756000,54.864686,-2.917634,38,1,,
